FLAME DETECTED,HUMIDITY,TEMPERATURE (Centigrade),GAS LEVEL (PPM),SAFETY CONDITION
0,57.6,30.7,585,1
0,61.9,32.6,624,1
0,53.6,31.2,857,0
0,66.5,30.6,653,0
1,68.9,32.9,710,0
0,47.7,30.7,883,0
1,42.6,35.6,885,0
0,69.8,31,896,0
1,52.7,31.3,595,0
0,61.9,34.4,555,1
0,63.4,31.6,977,0
0,41.1,36.1,750,0
1,66.3,30.7,655,0
0,68.8,30.7,981,0
0,56,30.4,526,1
0,65.9,33.4,668,0
1,61.9,32.7,625,0
0,45.9,32.9,907,0
0,67.7,30.4,634,1
0,43.9,35.2,934,0
0,58.5,30,596,1
0,69,30.7,1018,0
0,68.3,30.5,819,0
1,56.6,32.2,585,0
0,52.4,30.8,538,1
0,58.3,33.6,549,1
0,67.7,32.1,602,1
0,68.7,30.6,973,0
0,51,32,554,1
0,53.7,30.5,747,0
0,56.7,31.9,704,0
0,50.3,32.3,864,0
0,50.2,29.1,595,1
1,50.6,32.3,550,0
1,62.2,33.1,630,0
0,53.2,31.3,765,0
0,54.3,32.5,576,1
0,58.1,31.5,698,0
0,56.7,31.2,589,1
0,69.9,31.7,712,0
0,58.4,29.9,556,1
0,48.2,30.7,753,0
0,50.9,31.5,544,1
0,68.6,32.5,627,1
0,55,31.6,584,1
0,58.3,30.1,590,1
0,65.5,30.9,704,0
1,65.4,33.2,663,0
0,66.8,31.5,889,0
0,53.6,32.5,572,1
0,78,28.1,853,0
1,67.3,31.9,674,0
0,70.7,31.2,715,0
0,57.8,31.7,601,1
0,58.5,31.3,615,1
0,72.9,31.7,1024,0
0,55.4,32.2,577,1
0,52.4,31.2,816,0
0,54.3,32.1,605,1
1,77.7,28.2,822,0
0,70.5,31.4,727,0
1,52.8,31.3,595,0
0,51.9,31.4,522,1
1,54.7,32.3,614,0
0,36.4,37.6,613,1
0,75,30.9,591,1
0,70.9,31.7,595,1
0,71.2,31,718,0
0,56.3,31.5,605,1
0,57.5,31.7,696,0
0,48,30.7,649,1
0,56.1,31.2,584,1
0,53.6,31.9,590,1
0,48.8,30.7,830,0
0,57.2,31.7,602,1
0,35.3,37.4,597,1
0,54.8,31.2,714,0
0,50.9,31.5,545,1
0,51.2,31.6,545,1
0,52.7,32.8,614,1
0,48.2,31.7,580,1
0,68.6,30.5,636,1
0,56.4,31.4,646,1
1,68.4,32.9,701,0
1,52.5,31.2,510,0
0,68.1,31.3,878,0
0,67.2,30.5,639,1
0,69.9,32.8,680,0
0,50.9,31.4,544,1
0,53.7,31.2,701,0
0,68.6,32.6,615,1
1,46.7,32.3,932,0
0,51.7,32.3,560,1
0,45.8,31.8,874,0
0,52.2,31.2,528,1
0,71.6,31.6,865,0
0,54.5,32.2,642,1
1,51.8,32.3,558,0
0,62.4,31.9,799,0
0,73.5,31.7,974,0
0,37.9,37.6,749,0
0,70.7,31.6,710,0
0,52.1,32.9,601,1
0,70,31.2,748,0
0,37.4,37.8,653,0
0,67,32.6,684,0
1,53.4,32.4,567,0
0,55.1,33.3,545,1
0,52.1,31.2,749,0
0,47.8,30.7,838,0
0,50.5,32.3,757,0
0,52.7,30.5,929,0
0,51.1,31.7,550,1
0,48.1,30.7,763,0
0,77.9,30,778,0
0,46.9,31.7,938,0
0,53.7,32.7,580,1
0,69,30.8,993,0
0,52.4,34,586,1
0,70.2,32,681,0
0,64.6,33.1,654,0
0,67.9,32.5,607,1
0,65.4,30.9,732,0
1,57.1,31.3,598,0
0,77.8,30.3,768,0
0,56.1,32.2,577,1
0,48.3,30.9,626,1
1,55.6,32.3,580,0
0,55,32.2,633,1
0,35.2,37.3,594,1
1,52.3,31.2,509,0
0,71.5,30.9,732,0
0,51.8,30.5,942,0
0,67.2,31.7,1022,0
0,50.6,31.8,549,1
0,70,31.4,856,0
0,77.7,28.3,774,0
0,54.3,31.2,792,0
0,66.6,31.5,939,0
0,69.3,32.9,716,0
1,52.9,31.3,593,0
0,46,31.9,536,1
0,67.6,31.7,673,0
0,65,31.2,1024,0
0,35.8,37,590,1
0,63.5,31.5,1024,0
0,51.1,31.1,540,1
0,52.6,32.5,562,1
0,66.9,32,675,0
1,60.1,29.2,596,0
0,56.6,31.3,628,1
0,64.2,33.1,645,1
0,45.9,32.6,776,0
0,77.6,28.3,781,0
0,43.6,35.3,944,0
0,52,30.9,540,1
0,52.1,31.3,686,0
0,65.7,30.8,684,0
0,70.1,31.6,720,0
0,56.5,33.4,546,1
0,62.2,32.2,619,1
0,51,31.9,548,1
0,69.6,31.7,650,1
0,65,31.2,1011,0
0,57.6,31,633,1
0,53,32.9,585,1
0,52.5,31.3,521,1
0,37.1,37.8,638,1
0,70.7,30.7,745,0
0,46.1,32.6,847,0
0,69.6,30.9,884,0
0,37.1,36.5,585,1
0,54.4,32.8,585,1
0,57.8,30.5,588,1
0,50.4,32.3,550,1
0,54.2,31.2,925,0
0,55.8,32,658,0
0,70.8,31.2,754,0
0,55.5,34.8,560,1
1,47.8,30.7,593,0
0,48.6,30.8,644,1
0,53,31.3,517,1
